zipcode_id,zipcode
1,02151
2,02128
3,02129
4,02467
5,02135
6,02134
7,02163
8,02132
9,02136
10,02131
11,02130
12,02124
13,02122
14,02121
15,02125
16,02119
17,02120
18,02115
19,02118
20,02127
21,02199
22,02116
23,02210
24,02108
25,02109
26,02110
27,02111
28,02113
29,02114
30,02203
31,02114
32,02138
33,02134
34,02139
35,02140
36,02141
37,02142
38,02163
39,02238
